hora,dia_semana,linea,estacion,pasajeros_estimados,frecuencia_min,clima_lluvia,evento_cercano,nivel_congestion
5,Lunes,A,Niquia,320,8,0,0,Baja
6,Lunes,A,Bello,780,5,0,0,Alta
7,Lunes,A,Hospital,950,4,1,0,Alta
8,Lunes,A,San Antonio,870,4,0,0,Alta
9,Lunes,B,San Javier,620,6,0,0,Media
10,Martes,B,San Javier,280,8,0,0,Baja
11,Martes,B,Suramericana,300,9,0,0,Baja
12,Martes,K,Santo Domingo,260,10,1,0,Baja
13,Martes,K,Acevedo,350,9,0,0,Baja
14,Martes,A,Poblado,430,7,0,0,Media
15,Miercoles,A,Industriales,480,7,1,0,Media
16,Miercoles,B,Estadio,520,6,0,0,Media
17,Miercoles,A,Alpujarra,760,5,0,1,Alta
18,Miercoles,A,San Antonio,920,4,1,1,Alta
19,Miercoles,B,San Javier,700,5,0,0,Alta
20,Jueves,K,Santo Domingo,380,8,0,0,Media
21,Jueves,K,Acevedo,260,10,0,0,Baja
6,Jueves,A,Niquia,810,5,1,0,Alta
7,Jueves,B,San Javier,690,6,0,0,Media
8,Jueves,K,Santo Domingo,510,8,1,0,Media
12,Viernes,A,Poblado,460,7,0,0,Media
13,Viernes,B,Suramericana,550,6,1,0,Media
14,Viernes,K,Acevedo,500,8,0,0,Media
17,Viernes,A,Industriales,830,5,1,1,Alta
18,Viernes,A,San Antonio,980,4,1,1,Alta
19,Viernes,B,Estadio,720,5,0,0,Alta
6,Sabado,A,Bello,400,8,0,0,Media
7,Sabado,A,Niquia,520,7,1,0,Media
8,Sabado,B,San Javier,470,8,0,0,Media
9,Sabado,K,Santo Domingo,300,10,0,0,Baja
15,Sabado,A,Poblado,580,7,1,1,Alta
16,Sabado,B,Estadio,620,6,0,0,Media
17,Sabado,K,Acevedo,560,8,1,0,Media
18,Sabado,A,San Antonio,700,5,0,1,Alta
19,Sabado,B,Suramericana,650,6,1,0,Alta
20,Domingo,K,Santo Domingo,250,12,0,0,Baja
10,Domingo,A,Niquia,220,12,0,0,Baja
11,Domingo,B,San Javier,260,11,0,0,Baja
12,Domingo,K,Acevedo,240,12,1,0,Baja
13,Domingo,A,Poblado,280,10,0,0,Baja
14,Domingo,B,Estadio,300,9,0,0,Baja
15,Lunes,K,Santo Domingo,450,8,1,0,Media
16,Martes,A,Alpujarra,780,4,0,1,Alta
17,Miercoles,B,Suramericana,600,6,0,0,Media
18,Jueves,K,Acevedo,520,8,1,0,Media
19,Viernes,A,San Antonio,950,4,1,1,Alta
7,Viernes,B,San Javier,740,5,0,0,Alta
8,Lunes,A,Hospital,890,4,1,0,Alta
17,Martes,K,Santo Domingo,580,7,0,0,Media
18,Viernes,A,Poblado,990,4,1,1,Alta
